timestamp,features,head_mode,eval_kind,manyup_ckpt,manyup_use_proj,time_pool,epochs,lr,knn_k,batch_size,seed,test_miou,test_overall_acc,avg_epoch_sec,manyup_native_out,timanyup_ckpt,timanyup_k,timanyup_hrlc,timanyup_query_input,timanyup_train_transform,timanyup_transform_epochs
2026-09-10T22:45:22,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.52,0.78,120.49,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,2048,oe_base_s2_ps4_tile4_single,,,
2026-09-10T22:45:29,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.50,0.78,123.03,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,512,oe_base_s2_ps4_tile4_single,,,
2026-09-10T22:46:37,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.50,0.78,124.15,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,0,oe_base_s2_ps4_tile4_single,,,
2026-09-10T22:49:36,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.53,0.79,129.36,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,3072,oe_base_s2_ps4_tile4_single,,,
2026-09-11T01:17:29,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.46,0.77,98.20,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,3072,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T01:17:34,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.43,0.76,98.93,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,512,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T01:18:04,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.44,0.76,102.06,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,2048,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T01:19:45,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.42,0.75,101.66,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,64,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T01:20:01,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.43,0.76,103.46,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,1024,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T01:21:06,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.43,0.75,104.33,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,256,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T01:27:34,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.42,0.75,116.77,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,0,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T02:14:49,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.52,0.79,96.94,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,3072,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T02:15:50,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.50,0.78,98.75,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,512,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T02:18:01,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.51,0.78,103.10,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,2048,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T02:20:11,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.49,0.77,101.97,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,64,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T02:20:38,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.50,0.78,104.43,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,1024,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T02:23:31,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.49,0.77,105.39,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,256,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T02:34:13,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.49,0.77,114.05,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,0,oe_base_s2_ps4_tile4_single,upsampled,,
2026-09-11T04:09:39,oe_base_s2_ps16_tile64_ftp16ep64,timanyup_t,lp,,,,32,0.01,,32,0,0.49,0.77,126.21,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,512,oe_base_s2_ps4_tile4_single_ftp16ep64,bilinear,True,4
2026-09-11T04:11:45,oe_base_s2_ps16_tile64,timanyup,lp,,,,32,0.01,,32,0,0.44,0.76,101.22,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,512,oe_base_s2_ps4_tile4_single,upsampled,False,0
2026-09-11T04:12:55,oe_base_s2_ps16_tile64,timanyup_t,lp,,,,32,0.01,,32,0,0.50,0.78,103.02,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,512,oe_base_s2_ps4_tile4_single,upsampled,False,0
2026-09-11T04:15:41,oe_base_s2_ps16_tile64_ftp16ep64,timanyup_t,lp,,,,32,0.01,,32,0,0.51,0.78,108.52,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_bs4_qupsampled_ep19.pth,512,oe_base_s2_ps4_tile4_single_ftp16ep64,upsampled,True,0
2026-09-11T04:15:48,oe_base_s2_ps16_tile64_ftp16ep64,timanyup_t,lp,,,,32,0.01,,32,0,0.52,0.78,137.49,,timanyup_s2_ps16_to_ps4_T12_k512_tf0.25_ep19.pth,512,oe_base_s2_ps4_tile4_single_ftp16ep64,bilinear,True,0
